,open,high,low,close,volume,atr,ob_formed,ob_direction,entry_quality,qmp_fast,qmp_slow,qmp_macd,qmp_line,qmp_hist,qqe_rsi,qqe_rsi_ma,qqe_dar,qqe_momentum,signal_alignment
2026-05-05 08:00:00,80855.59,80895.5,80839.71,80859.32,137.15178,166.48642857142946,False,none,0.0,80974.06004813818,81040.66867456539,-66.60862642720167,-51.453235273178876,-15.155391154022794,47.32433851457014,47.32433851457014,16.553019447006914,0.3434660218672221,-1.0
2026-05-05 08:15:00,80859.32,80879.24,80812.83,80842.63,68.59065,155.57285714285848,False,none,0.0,80945.31977574395,81030.52190005592,-85.20212431196705,-70.7419669688795,-14.460157343087559,45.806864643840946,45.806864643840946,16.48934439218894,-1.5174738707291908,1.0
2026-05-05 08:30:00,80842.64,80869.25,80723.2,80741.27,162.56234,154.98214285714388,False,none,0.0,80893.52325466303,81006.33158226627,-112.8083276032412,-93.6033947327101,-19.204932870531096,37.46811828121014,37.46811828121014,16.471773654195076,-8.338746362630808,1.0
2026-05-05 08:45:00,80741.28,80833.99,80741.27,80815.24,106.15313,138.79714285714414,False,none,0.0,80873.84377496218,80994.69054667285,-120.84677171066869,-111.89674569505681,-8.950026015611883,45.71073529382961,45.71073529382961,16.493161266358925,8.242617012619469,-1.0
2026-05-05 09:00:00,80815.24,80815.24,80667.77,80667.77,180.10982,127.65142857142928,False,none,0.0,80816.48169127193,80962.68735129209,-146.2056600201613,-133.09169114300053,-13.113968877160772,35.153088670865685,35.153088670865685,16.579257935632914,-10.557646622963922,1.0
2026-05-05 09:15:00,80667.78,80688.61,80597.99,80657.73,348.51552,123.18785714285748,False,none,0.0,80769.04039605532,80932.19924907241,-163.15885301708477,-153.2841644636634,-9.874688553421379,34.53250691869424,34.53250691869424,16.588846533404393,-0.6205817521714465,1.0
2026-05-05 09:30:00,80657.73,80701.48,80564.13,80589.59,210.31019,124.68285714285696,False,none,0.0,80713.08561318295,80894.83367858737,-181.74806540441932,-173.29445139046493,-8.453614013954393,30.37349097349778,30.37349097349778,16.578924606583932,-4.159015945196458,1.0
2026-05-05 09:45:00,80589.59,80610.0,80527.76,80586.02,126.41208,118.98142857142896,False,none,0.0,80669.08637542975,80860.61456162237,-191.52818619261961,-189.96002306792818,-1.5681631246914378,30.156023362827483,30.156023362827483,16.499496964666665,-0.21746761067029752,1.0
2026-05-05 10:00:00,80586.02,80707.98,80530.82,80677.56,136.5296,125.24928571428504,False,none,0.0,80661.61742117025,80842.82969694523,-181.2122757749894,-196.97498771614545,15.762711941156056,42.268831986971975,42.268831986971975,16.51847968063103,12.112808624144492,1.0
2026-05-05 10:15:00,80677.56,80749.05,80677.55,80732.38,128.19613,118.60714285714182,False,none,0.0,80672.21734335914,80834.4958983019,-162.27855494276446,-194.0179171137573,31.739362170992848,48.394228947140085,48.394228947140085,16.54327222964832,6.125396960168111,1.0
